"CUSTOMER_KEY","Year","month_Year","general_KWH","offPeak_KWH","grossGen_KWH","netGen_KWH","total_KWH","max_Monthly","min_Monthly","median_High","median_Low","measured_Days","days_80","days_65"
"8170837","2013","10-2013",609.737,0,0,0,609.737,99,49,76,58,31,10,27
"8170837","2013","11-2013",593.845,0,0,0,593.845,94,53,74.5,61,30,5,24
"8170837","2013","12-2013",600.765,0,0,0,600.765,97,55,79,66,31,8,9
"8170837","2013","4-2013",569.444,0,0,0,569.444,84,52,75.5,60,30,4,29
"8170837","2013","5-2013",704.524,0,0,0,704.524,80,49,70,53,31,0,31
"8170837","2013","6-2013",588.415,0,0,0,588.415,72,46,66,51,30,0,30
"8170837","2013","7-2013",673.292,0,0,0,673.292,76,45,67,48,31,0,31
"8170837","2013","8-2013",664.631,0,0,0,664.631,76,45,71,51,31,0,31
"8170837","2013","9-2013",619.126,0,0,0,619.126,89,50,74,56,30,8,29
"8170837","2014","1-2014",598.152,0,0,0,598.152,98,61,80,68,31,15,3
"8170837","2014","2-2014",461.499,0,0,0,461.499,90,60,80,68,28,12,4
"8170837","2014","3-2014",32.598,0,0,0,32.598,85,59,80,67,31,14,6
"8202727","2013","10-2013",728.799,0,0,0,728.799,99,49,76,58,31,10,27
"8202727","2013","11-2013",745.871,0,0,0,745.871,94,53,74.5,61,30,5,24
"8202727","2013","12-2013",860.445,0,0,0,860.445,97,55,79,66,31,8,9
"8202727","2013","5-2013",645.466,0,0,0,645.466,80,49,70,53,31,0,31
"8202727","2013","6-2013",1183.461,0,0,0,1183.461,72,46,66,51,30,0,30
"8202727","2013","7-2013",1298.64,0,0,0,1298.64,76,45,67,48,31,0,31
"8202727","2013","8-2013",1090.802,0,0,0,1090.802,76,45,71,51,31,0,31
"8202727","2013","9-2013",757.284,0,0,0,757.284,89,50,74,56,30,8,29
"8202727","2014","1-2014",1136.184,0,0,0,1136.184,98,61,80,68,31,15,3
"8202727","2014","2-2014",1095.839,0,0,0,1095.839,90,60,80,68,28,12,4
"8202727","2014","3-2014",98.892,0,0,0,98.892,85,59,80,67,31,14,6
"8322046","2013","10-2013",1017.806,0,0,0,1017.806,99,49,76,58,31,10,27
"8322046","2013","11-2013",763.846,0,0,0,763.846,94,53,74.5,61,30,5,24
"8322046","2013","12-2013",1290.763,0,0,0,1290.763,97,55,79,66,31,8,9
"8322046","2013","2-2013",184.356,0,0,0,184.356,85,57,80,67,28,14,6
"8322046","2013","3-2013",522.083,0,0,0,522.083,92,57,80,67,31,13,10
"8322046","2013","4-2013",486.861,0,0,0,486.861,84,52,75.5,60,30,4,29
"8322046","2013","5-2013",474.631,0,0,0,474.631,80,49,70,53,31,0,31
"8322046","2013","6-2013",470.874,0,0,0,470.874,72,46,66,51,30,0,30
"8322046","2013","7-2013",423.968,0,0,0,423.968,76,45,67,48,31,0,31
"8322046","2013","8-2013",481.786,0,0,0,481.786,76,45,71,51,31,0,31
"8322046","2013","9-2013",589.128,0,0,0,589.128,89,50,74,56,30,8,29
"8322046","2014","1-2014",1401.958,0,0,0,1401.958,98,61,80,68,31,15,3
"8322046","2014","2-2014",900.896,0,0,0,900.896,90,60,80,68,28,12,4
"8322046","2014","3-2014",113.311,0,0,0,113.311,85,59,80,67,31,14,6
"8342962","2013","1-2013",530.402,0,0,0,530.402,114,62,80,69,31,14,2
"8342962","2013","10-2013",1216.774,0,0,0,1216.774,99,49,76,58,31,10,27
"8342962","2013","11-2013",1031.607,0,0,0,1031.607,94,53,74.5,61,30,5,24
"8342962","2013","12-2013",1656.802,0,0,0,1656.802,97,55,79,66,31,8,9
"8342962","2013","2-2013",1300.925,0,0,0,1300.925,85,57,80,67,28,14,6
"8342962","2013","3-2013",1195.274,0,0,0,1195.274,92,57,80,67,31,13,10
"8342962","2013","4-2013",555.327,0,0,0,555.327,84,52,75.5,60,30,4,29
"8342962","2013","5-2013",601.602,0,0,0,601.602,80,49,70,53,31,0,31
"8342962","2013","6-2013",765.083,0,0,0,765.083,72,46,66,51,30,0,30
"8342962","2013","7-2013",725.639,0,0,0,725.639,76,45,67,48,31,0,31
"8342962","2013","8-2013",671.242,0,0,0,671.242,76,45,71,51,31,0,31
"8342962","2013","9-2013",795.218,0,0,0,795.218,89,50,74,56,30,8,29
"8342962","2014","1-2014",1870.27,0,0,0,1870.27,98,61,80,68,31,15,3
"8342962","2014","2-2014",1407.52,0,0,0,1407.52,90,60,80,68,28,12,4
"8342962","2014","3-2014",43.096,0,0,0,43.096,85,59,80,67,31,14,6
"8410116","2012","10-2012",194.612,0,217.402,0,412.014,94,47,71,56,31,7,29
"8410116","2012","11-2012",225.351,0,179.242,0,404.593,92,55,75,62,30,7,20
"8410116","2012","12-2012",223.185,0,190.108,0,413.293,91,57,79,65,31,11,13
"8410116","2012","5-2012",370.357,0,159.528,0,529.885,84,47,70,51,31,2,31
"8410116","2012","6-2012",559.723,0,111.237,0,670.96,70,44,65,50,30,0,30
"8410116","2012","7-2012",600.791,0,140.582,0,741.373,73,42,63,48,31,0,31
"8410116","2012","8-2012",478.587,0,190.561,0,669.148,85,42,67,49,31,1,31
"8410116","2012","9-2012",184.174,0,217.378,0,401.552,92,42,71,54,30,3,28
"8410116","2013","1-2013",430.768,0,189.832,0,620.6,114,62,80,69,31,14,2
"8410116","2013","10-2013",145.606,0,241.075,0,386.681,99,49,76,58,31,10,27
"8410116","2013","11-2013",131.654,0,189.177,0,320.831,94,53,74.5,61,30,5,24
"8410116","2013","12-2013",327.605,0,232.736,0,560.341,97,55,79,66,31,8,9
"8410116","2013","2-2013",226.961,0,178.669,0,405.63,85,57,80,67,28,14,6
"8410116","2013","3-2013",225.693,0,195.281,0,420.974,92,57,80,67,31,13,10
"8410116","2013","4-2013",160.668,0,170.091,0,330.759,84,52,75.5,60,30,4,29
"8410116","2013","5-2013",284.253,0,150.528,0,434.781,80,49,70,53,31,0,31
"8410116","2013","6-2013",490.048,0,96.154,0,586.202,72,46,66,51,30,0,30
"8410116","2013","7-2013",462.961,0,141.83,0,604.791,76,45,67,48,31,0,31
"8410116","2013","8-2013",326.257,0,200.222,0,526.479,76,45,71,51,31,0,31
"8410116","2013","9-2013",162.763,0,205.389,0,368.152,89,50,74,56,30,8,29
"8410116","2014","1-2014",417.728,0,225.813,0,643.541,98,61,80,68,31,15,3
"8410116","2014","2-2014",235.426,0,175.868,0,411.294,90,60,80,68,28,12,4
"8410116","2014","3-2014",5.629,0,2.496,0,8.125,85,59,80,67,31,14,6
"8564811","2013","10-2013",580.042,0,0,0,580.042,99,49,76,58,31,10,27
"8564811","2013","11-2013",444.226,0,0,0,444.226,94,53,74.5,61,30,5,24
"8564811","2013","12-2013",27.189,0,0,0,27.189,97,55,79,66,31,8,9
"8564811","2013","3-2013",0,0,0,0,0,92,57,80,67,31,13,10
"8564811","2013","4-2013",0,0,0,0,0,84,52,75.5,60,30,4,29
"8564811","2013","5-2013",124.763,0,0,0,124.763,80,49,70,53,31,0,31
"8564811","2013","6-2013",265.825,0,0,0,265.825,72,46,66,51,30,0,30
"8564811","2013","7-2013",315.954,0,0,0,315.954,76,45,67,48,31,0,31
"8564811","2013","8-2013",328.494,0,0,0,328.494,76,45,71,51,31,0,31
"8564811","2013","9-2013",342.467,0,0,0,342.467,89,50,74,56,30,8,29
"8564811","2014","1-2014",373.416,0,0,0,373.416,98,61,80,68,31,15,3
"8564811","2014","2-2014",274.483,0,0,0,274.483,90,60,80,68,28,12,4
"8564811","2014","3-2014",21.563,0,0,0,21.563,85,59,80,67,31,14,6
"8642061","2012","10-2012",447.995,0,0,0,447.995,94,47,71,56,31,7,29
"8642061","2012","11-2012",584.229,0,0,0,584.229,92,55,75,62,30,7,20
"8642061","2012","12-2012",723.927,0,0,0,723.927,91,57,79,65,31,11,13
"8642061","2012","7-2012",170.504,0,0,0,170.504,73,42,63,48,31,0,31
"8642061","2012","8-2012",1150.031,0,0,0,1150.031,85,42,67,49,31,1,31
"8642061","2012","9-2012",725.833,0,0,0,725.833,92,42,71,54,30,3,28
"8642061","2013","1-2013",602.64,0,0,0,602.64,114,62,80,69,31,14,2
"8642061","2013","10-2013",447.311,0,0,0,447.311,99,49,76,58,31,10,27
"8642061","2013","11-2013",567.251,0,0,0,567.251,94,53,74.5,61,30,5,24
"8642061","2013","12-2013",710.311,0,0,0,710.311,97,55,79,66,31,8,9
"8642061","2013","2-2013",617.413,0,0,0,617.413,85,57,80,67,28,14,6
"8642061","2013","3-2013",663.111,0,0,0,663.111,92,57,80,67,31,13,10
"8642061","2013","4-2013",601.391,0,0,0,601.391,84,52,75.5,60,30,4,29
"8642061","2013","5-2013",967.198,0,0,0,967.198,80,49,70,53,31,0,31
"8642061","2013","6-2013",1102.845,0,0,0,1102.845,72,46,66,51,30,0,30
"8642061","2013","7-2013",1255.451,0,0,0,1255.451,76,45,67,48,31,0,31
"8642061","2013","8-2013",1082.278,0,0,0,1082.278,76,45,71,51,31,0,31
"8642061","2013","9-2013",587.756,0,0,0,587.756,89,50,74,56,30,8,29
"8642061","2014","1-2014",816.1,0,0,0,816.1,98,61,80,68,31,15,3
"8642061","2014","2-2014",710.141,0,0,0,710.141,90,60,80,68,28,12,4
"8642061","2014","3-2014",47.187,0,0,0,47.187,85,59,80,67,31,14,6
"8664162","2012","10-2012",945.292,0,506.984,0,1452.276,94,47,71,56,31,7,29
"8664162","2012","11-2012",1026.058,0,434.917,0,1460.975,92,55,75,62,30,7,20
"8664162","2012","12-2012",922.213,0,478.946,0,1401.159,91,57,79,65,31,11,13
"8664162","2012","6-2012",802.771,0,0,0,802.771,70,44,65,50,30,0,30
"8664162","2012","7-2012",1140.854,0,0,0,1140.854,73,42,63,48,31,0,31
"8664162","2012","8-2012",1079.76,0,276.06,0,1355.82,85,42,67,49,31,1,31
"8664162","2012","9-2012",1009.693,0,483.046,0,1492.739,92,42,71,54,30,3,28
"8664162","2013","1-2013",1130.944,0,472.319,0,1603.263,114,62,80,69,31,14,2
"8664162","2013","10-2013",943.188,0,0,0,943.188,99,49,76,58,31,10,27
"8664162","2013","11-2013",962.879,0,0,0,962.879,94,53,74.5,61,30,5,24
"8664162","2013","12-2013",1008.015,0,0,0,1008.015,97,55,79,66,31,8,9
"8664162","2013","2-2013",922.598,0,422.004,0,1344.602,85,57,80,67,28,14,6
"8664162","2013","3-2013",969.613,0,458.355,0,1427.968,92,57,80,67,31,13,10
"8664162","2013","4-2013",871.22,0,375.181,0,1246.401,84,52,75.5,60,30,4,29
"8664162","2013","5-2013",921.219,0,116.766,0,1037.985,80,49,70,53,31,0,31
"8664162","2013","6-2013",1017.537,0,0,0,1017.537,72,46,66,51,30,0,30
"8664162","2013","7-2013",1029.044,0,0,0,1029.044,76,45,67,48,31,0,31
"8664162","2013","8-2013",987.08,0,0,0,987.08,76,45,71,51,31,0,31
"8664162","2013","9-2013",931.773,0,0,0,931.773,89,50,74,56,30,8,29
"8664162","2014","1-2014",970.345,0,0,0,970.345,98,61,80,68,31,15,3
"8664162","2014","2-2014",852.316,0,0,0,852.316,90,60,80,68,28,12,4
"8664162","2014","3-2014",81.627,0,0,0,81.627,85,59,80,67,31,14,6
"8902378","2013","10-2013",360.747,0,0,0,360.747,99,49,76,58,31,10,27
"8902378","2013","11-2013",364.132,0,0,0,364.132,94,53,74.5,61,30,5,24
"8902378","2013","12-2013",556.128,0,0,0,556.128,97,55,79,66,31,8,9
"8902378","2013","7-2013",455.697,0,0,0,455.697,76,45,67,48,31,0,31
